#;COLAlloc;Quantity;MinQuantity;MaxQuantity;HasSalesBudgetReservation;RequiresOrderCombination;NrOfActiveRoutingChainUpstream;SelectedShippingShop;Вид ГП;DeliveryType;ImgPlannedStatus;RoutingId;Name;ProductId;ProductName;LatestDesiredDeliveryDate;ProductSpecificationId;ResourceGroupIds
1494;40372231/3;68;61,2;74,8;ИСТИНА;ЛОЖЬ;2;13;ПГТД;ЛСТ;ImgPlannedStatus3;40355763|1|02|001T;Отгрузка ЦХПП;QHF_0103300_C;Г/к травленый дрессированный прокат углеродистой стали;26-апр.-2020;D40ED09AF5339614D8440405B8641404;G_OTGRH, G_VSL1
1495;40367861/4;325;308,75;341,25;ИСТИНА;ЛОЖЬ;1;15;ПХИ;РЛН РСП;ImgPlannedStatus2;40351434|1|01|001T;Отгрузка ЦДС;QHF_0104120_X;Х/к термообработанный прокат динамной стали;26-апр.-2020;6BB3AAE8447897F5D63B157FD4560315;G_OTGRD, G_VSL1
1496;40367459/3;22;17,6;26,4;ИСТИНА;ЛОЖЬ;2;15;ПХТД;РЛН;ImgPlannedStatus3;40184259|1|01|059T;Отгрузка ЦХПП;QHF_0104120_C;Х/к термообработанный прокат углеродистой стали;26-апр.-2020;FD21D169B582EE041AC16D7B9BA0820C;G_OTGRH
1497;40373634/1;20;16;24;ИСТИНА;ЛОЖЬ;1;15;ПХИ;РЛН;ImgPlannedStatus2;40351434|1|01|001T;Отгрузка ЦДС;QHF_0104120_X;Х/к термообработанный прокат динамной стали;26-апр.-2020;FF59F30FE6910F90AB14D5845E8E4C0C;G_OTGRD, G_VSL1
1498;40372374/4;40;34;44;ИСТИНА;ЛОЖЬ;2;13;ПГО;РЛН;ImgPlannedStatus2;40184372|3|02|001T;Отгрузка ЦХПП;QHF_0103400_C;Г/к оцинкованный прокат углеродистой стали;26-апр.-2020;CCEED6DFB2CDF4E5DF19F38D4B3B101D;G_OTGRH
1499;40374878/1;68;61,2;74,8;ИСТИНА;ЛОЖЬ;16;12;ПГ;ЛСТ;ImgPlannedStatus3;40184367|1|01|003T;Отгрузка ЦГП;QHF_0103100_C;Г/к прокат углеродистой стали;26-апр.-2020;87349D94187529CBCDD0F10F7B5854EB;G_OTGRG
1500;40372336/6;10;8;12;ИСТИНА;ЛОЖЬ;1;15;ПХИ;ЛНТ;ImgPlannedStatus2;40351434|1|01|001T;Отгрузка ЦДС;QHF_0104120_X;Х/к термообработанный прокат динамной стали;26-апр.-2020;451E2EABA2B52E9D3DD15DE9389DEFF6;G_OTGRD, G_VSL1
1501;40373739/18;60;51;66;ИСТИНА;ЛОЖЬ;4;13;ПХОПП;РЛН;ImgPlannedStatus3;40258662|2|01|006T;Отгрузка ЦДС;QHF_0104133_C;Х/к оцинкованный прокат с полимерным покрытием;26-апр.-2020;55BFD3ED397E6D3F7ADE93E5A3D8A77D;G_OTGRD
1502;40371228/1;60;54;66;ИСТИНА;ЛОЖЬ;1;15;ПХИ;РЛН;ImgPlannedStatus2;40351434|1|01|001T;Отгрузка ЦДС;QHF_0104120_X;Х/к термообработанный прокат динамной стали;26-апр.-2020;EFAD0EA5BA9B74DEEA925CF011613005;G_OTGRD, G_VSL1
1503;40366414/1;60;54;66;ИСТИНА;ЛОЖЬ;2;13;ПХТД;РЛН;ImgPlannedStatus2;40184259|1|01|059T;Отгрузка ЦХПП;QHF_0104120_C;Х/к термообработанный прокат углеродистой стали;26-апр.-2020;86B8ABFEC5232452220DEC6C2A767255;G_OTGRH
1504;40373271/6;30;24;33;ИСТИНА;ЛОЖЬ;4;13;ПХОПП;РЛН;ImgPlannedStatus3;40258662|2|01|006T;Отгрузка ЦДС;QHF_0104133_C;Х/к оцинкованный прокат с полимерным покрытием;26-апр.-2020;6A451DB192D5106612D2EF3F9D448C4A;G_OTGRD
1505;40365006/3;64;54,4;70,4;ИСТИНА;ЛОЖЬ;2;13;ПГО;РЛН;ImgPlannedStatus2;40184372|3|02|001T;Отгрузка ЦХПП;QHF_0103400_C;Г/к оцинкованный прокат углеродистой стали;26-апр.-2020;62CBF10BCFEAFB692C86E0F7899615FD;G_OTGRH
1506;40373186/1;64;54,4;70,4;ИСТИНА;ЛОЖЬ;4;13;ПХО;РЛН;ImgPlannedStatus3;40184372|1|02|001T;Отгрузка ЦХПП;QHF_0104131_C;Х/к оцинкованный прокат углеродистой стали;19-апр.-2020;A6EFC3FDD6081439D78613927232D24B;G_OTGRH
1507;40367695/8;20;16;24;ИСТИНА;ЛОЖЬ;2;13;ПГО;РЛН;ImgPlannedStatus3;40184372|3|02|001T;Отгрузка ЦХПП;QHF_0103400_C;Г/к оцинкованный прокат углеродистой стали;26-апр.-2020;688FDEEDA128F658F6C2CA7685BCF12A;G_OTGRH
1508;40372991/3;40;34;44;ИСТИНА;ЛОЖЬ;4;13;ПХО;ЛСТ;ImgPlannedStatus3;40184372|1|02|001T;Отгрузка ЦХПП;QHF_0104131_C;Х/к оцинкованный прокат углеродистой стали;26-апр.-2020;B32BAC4514308AB7DAA6EC0E95A3DBEE;G_OTGRH
1509;40372374/1;64;54,4;70,4;ИСТИНА;ЛОЖЬ;4;13;ПХО;РЛН;ImgPlannedStatus2;40184372|1|02|001T;Отгрузка ЦХПП;QHF_0104131_C;Х/к оцинкованный прокат углеродистой стали;26-апр.-2020;FFD6AE4547954EF214AA211BA0FBA8EF;G_OTGRH
1510;40367691/6;40;32;48;ИСТИНА;ЛОЖЬ;4;13;ПХО;РЛН;ImgPlannedStatus2;40184372|1|02|001T;Отгрузка ЦХПП;QHF_0104131_C;Х/к оцинкованный прокат углеродистой стали;26-апр.-2020;59798AC4694EB8DEA1103AD7CDC1665B;G_OTGRH
1511;40371133/1;20;16;24;ИСТИНА;ЛОЖЬ;28;13;ПХТД;РЛН;ImgPlannedStatus3;40184259|1|01|059T;Отгрузка ЦХПП;QHF_0104120_C;Х/к термообработанный прокат углеродистой стали;26-апр.-2020;46564893B4EC313DE4388B7D0F3653D5;G_OTGRH
1512;40371217/1;120;108;132;ИСТИНА;ЛОЖЬ;1;15;ПХИ;РЛН;ImgPlannedStatus3;40351434|1|01|001T;Отгрузка ЦДС;QHF_0104120_X;Х/к термообработанный прокат динамной стали;26-апр.-2020;6FC9DAA07BE83DEA0A9E29B6D1050CD2;G_OTGRD, G_VSL1
1513;40367409/4;116;96,79;125,59;ИСТИНА;ЛОЖЬ;2;13;ПХТД;РЛН;ImgPlannedStatus3;40184259|1|01|059T;Отгрузка ЦХПП;QHF_0104120_C;Х/к термообработанный прокат углеродистой стали;26-апр.-2020;70E2191C7A690017B00D95E08239A6E4;G_OTGRH
1514;40373907/15;20;16;24;ИСТИНА;ЛОЖЬ;4;13;ПХОПП;РЛН;ImgPlannedStatus3;40258662|2|01|006T;Отгрузка ЦДС;QHF_0104133_C;Х/к оцинкованный прокат с полимерным покрытием;26-апр.-2020;BC4B5835CF5D426190205E093E7B96AC;G_OTGRD
1515;40367378/1;20;16;24;ИСТИНА;ЛОЖЬ;4;13;ПХОПП;РЛН;ImgPlannedStatus3;40258662|2|01|006T;Отгрузка ЦДС;QHF_0104133_C;Х/к оцинкованный прокат с полимерным покрытием;26-апр.-2020;855041E6A35B938CE85E20B8DB3F8894;G_OTGRD
1516;40373295/1;320;288;336;ИСТИНА;ЛОЖЬ;2;12;ПГ;РЛН;ImgPlannedStatus3;40184367|1|01|003T;Отгрузка ЦГП;QHF_0103100_C;Г/к прокат углеродистой стали;26-апр.-2020;DFD147435F1CF5CDCA64B137331D7C6E;G_OTGRG
1517;40372757/1;300;270;330;ИСТИНА;ЛОЖЬ;2;13;ПХТД;РЛН РСП;ImgPlannedStatus3;40184259|1|01|059T;Отгрузка ЦХПП;QHF_0104120_C;Х/к термообработанный прокат углеродистой стали;26-апр.-2020;C70FA38D590D595FF3859DE2E6F2699C;G_OTGRH
1518;40367452/5;30;20,44;39,64;ИСТИНА;ЛОЖЬ;294;15;ПХО;ЛНТ;ImgPlannedStatus2;40184372|1|02|001T;Отгрузка ЦХПП;QHF_0104131_C;Х/к оцинкованный прокат углеродистой стали;26-апр.-2020;F9CCDC100043A6E5D80A83F64C766C88;G_OTGRH
1519;40367912/2;34;28,9;37,4;ИСТИНА;ЛОЖЬ;8;12;ПГ;ЛСТ;ImgPlannedStatus2;40184367|1|01|003T;Отгрузка ЦГП;QHF_0103100_C;Г/к прокат углеродистой стали;26-апр.-2020;99DBC6A4440099E5CDA346E32CF6C9C0;G_OTGRG
1520;40364291/19;20;16;24;ИСТИНА;ЛОЖЬ;4;13;ПХОПП;РЛН;ImgPlannedStatus3;40258662|2|01|006T;Отгрузка ЦДС;QHF_0104133_C;Х/к оцинкованный прокат с полимерным покрытием;26-апр.-2020;4C49A842747BFB74DA0BC2929D3A7CDD;G_OTGRD
1521;40360274/4;4;0;8,84;ИСТИНА;ЛОЖЬ;16;15;ПХО;РЛН;ImgPlannedStatusUpstreamNotPlanned;40184372|1|02|001T;Отгрузка ЦХПП;QHF_0104131_C;Х/к оцинкованный прокат углеродистой стали;26-апр.-2020;38649EB9187385B86BAF69BE9164822C;G_OTGRH
1522;40365699/18;136;122,4;142,8;ИСТИНА;ЛОЖЬ;2;12;ПГ;ЛСТ;ImgPlannedStatus2;40184367|1|01|003T;Отгрузка ЦГП;QHF_0103100_C;Г/к прокат углеродистой стали;26-апр.-2020;E700E7955B8067A7B33663252488A7B9;G_OTGRG
1523;40371241/4;20;16;24;ИСТИНА;ЛОЖЬ;2;13;ПГТД;ЛСТ;ImgPlannedStatus2;40355763|1|02|001T;Отгрузка ЦХПП;QHF_0103300_C;Г/к травленый дрессированный прокат углеродистой стали;26-апр.-2020;4B81B57CC63CDF354CA18125DBC7ED2F;G_OTGRH, G_VSL1
1524;40368146/12;34;28,9;37,4;ИСТИНА;ЛОЖЬ;2;12;ПГ;ЛСТ;ImgPlannedStatus2;40184367|1|01|003T;Отгрузка ЦГП;QHF_0103100_C;Г/к прокат углеродистой стали;26-апр.-2020;63672047B3F64EE5C49B45A571DADFC1;G_OTGRG
1525;40367915/1;34;28,9;37,4;ИСТИНА;ЛОЖЬ;4;12;ПГ;ЛСТ;ImgPlannedStatus3;40184367|1|01|003T;Отгрузка ЦГП;QHF_0103100_C;Г/к прокат углеродистой стали;26-апр.-2020;FFF690940824B5B7E59A7D9440E79EEE;G_OTGRG
1526;40367915/2;34;28,9;37,4;ИСТИНА;ЛОЖЬ;4;12;ПГ;ЛСТ;ImgPlannedStatus2;40184367|1|01|003T;Отгрузка ЦГП;QHF_0103100_C;Г/к прокат углеродистой стали;26-апр.-2020;6E18F8C401482B5400C82438F3F8EFE0;G_OTGRG
1527;40371500/1;150;90;210;ИСТИНА;ЛОЖЬ;6;7;СО;-;ImgPlannedStatus2;40371500|1|01|001T;Отгрузка КЦ-2;QHF_0102200_C;Сляб обжатый углеродистой стали;26-апр.-2020;A86145460B987C8B9038721643E81575;G_OTGRO2
1528;40372246/3;44;37,4;48,4;ИСТИНА;ЛОЖЬ;2;13;ПГТД;ЛСТ;ImgPlannedStatus3;40355763|1|02|001T;Отгрузка ЦХПП;QHF_0103300_C;Г/к травленый дрессированный прокат углеродистой стали;26-апр.-2020;E072D6B8AB942EAE8A601F442F721898;G_OTGRH, G_VSL1
1529;40368254/2;20;17;22;ИСТИНА;ЛОЖЬ;2;13;ПХТД;РЛН;ImgPlannedStatus2;40184259|1|01|059T;Отгрузка ЦХПП;QHF_0104120_C;Х/к термообработанный прокат углеродистой стали;26-апр.-2020;D041588DA7ACF37127FBF63B0789D46E;G_OTGRH
1530;40368236/8;64;51,2;70,4;ИСТИНА;ЛОЖЬ;2;13;ПГТД;РЛН;ImgPlannedStatus3;40355763|1|02|001T;Отгрузка ЦХПП;QHF_0103300_C;Г/к травленый дрессированный прокат углеродистой стали;26-апр.-2020;4A9099F5F45ED46552BE98EB975FE965;G_OTGRH, G_VSL1
1531;40373065/1;22;17,6;26,4;ИСТИНА;ЛОЖЬ;2;13;ПХО;РЛН;ImgPlannedStatus2;40184372|1|02|001T;Отгрузка ЦХПП;QHF_0104131_C;Х/к оцинкованный прокат углеродистой стали;26-апр.-2020;BC019840169BCA8189636AA0D1F095E3;G_OTGRH
1532;40368611/3;44;37,4;48,4;ИСТИНА;ЛОЖЬ;6;13;ПХТД;ЛСТ;ImgPlannedStatus2;40184259|1|01|059T;Отгрузка ЦХПП;QHF_0104120_C;Х/к термообработанный прокат углеродистой стали;26-апр.-2020;08FAC0BC413CEE9AE1376486491F65DF;G_OTGRH
1533;40373652/3;34;28,9;37,4;ИСТИНА;ЛОЖЬ;4;12;ПГ;ЛСТ;ImgPlannedStatus2;40184367|1|01|003T;Отгрузка ЦГП;QHF_0103100_C;Г/к прокат углеродистой стали;26-апр.-2020;74CBCEE0D4B9627DDFB95903D790B691;G_OTGRG
1534;40372368/1;300;180;420;ИСТИНА;ЛОЖЬ;1;7;С;-;ImgPlannedStatus2;40360493|1|01|001T;Отгрузка КЦ-2;QHF_0102100_T;Товарный сляб;26-апр.-2020;352CF335341645E51817180B0CB05636;G_OTGRO2
1535;40360255/2;7,7;2,9;12,5;ИСТИНА;ЛОЖЬ;18;15;ПХО;РЛН;ImgPlannedStatus2;40184372|1|02|001T;Отгрузка ЦХПП;QHF_0104131_C;Х/к оцинкованный прокат углеродистой стали;26-апр.-2020;D979E281401D434398AE93B64FECDBDA;G_OTGRH
1536;40371592/1;68;57,8;74,8;ИСТИНА;ЛОЖЬ;8;12;ПГ;ЛСТ;ImgPlannedStatus3;40184367|1|01|003T;Отгрузка ЦГП;QHF_0103100_C;Г/к прокат углеродистой стали;26-апр.-2020;49E53A5F9B37D74B5061FFA56079D5E1;G_OTGRG
1537;40368591/13;128;115,2;140,8;ИСТИНА;ЛОЖЬ;8;13;ПХТД;РЛН;ImgPlannedStatus3;40184259|1|01|059T;Отгрузка ЦХПП;QHF_0104120_C;Х/к термообработанный прокат углеродистой стали;26-апр.-2020;85123E9A482ACA700E5B412468AE5259;G_OTGRH
1538;40358667/3;5;0;11,37;ИСТИНА;ЛОЖЬ;20;15;ПХО;РЛН;ImgPlannedStatusUpstreamNotPlanned;40184372|1|02|001T;Отгрузка ЦХПП;QHF_0104131_C;Х/к оцинкованный прокат углеродистой стали;26-апр.-2020;41BC72EE519629F78966538E6E14DB93;G_OTGRH
1539;40374374/2;68;61,2;74,8;ИСТИНА;ЛОЖЬ;8;12;ПГ;ЛСТ;ImgPlannedStatus3;40184367|1|01|003T;Отгрузка ЦГП;QHF_0103100_C;Г/к прокат углеродистой стали;26-апр.-2020;CBC87C2CD8D56CDC833AD34092BA5843;G_OTGRG
1540;40372918/13;68;61,2;74,8;ИСТИНА;ЛОЖЬ;2;12;ПГ;ЛСТ;ImgPlannedStatus2;40184367|1|01|003T;Отгрузка ЦГП;QHF_0103100_C;Г/к прокат углеродистой стали;26-апр.-2020;EC9FB0B4F8B2389CD380757F6D95201F;G_OTGRG
1541;40373931/6;45;38,25;49,5;ИСТИНА;ЛОЖЬ;4;13;ПХОПП;РЛН;ImgPlannedStatus2;40258662|2|01|006T;Отгрузка ЦДС;QHF_0104133_C;Х/к оцинкованный прокат с полимерным покрытием;26-апр.-2020;69DB8B2F818689CFDBB919FAD2616699;G_OTGRD
1542;40374431/7;68;61,2;74,8;ИСТИНА;ЛОЖЬ;4;12;ПГ;ЛСТ;ImgPlannedStatus3;40184367|1|01|003T;Отгрузка ЦГП;QHF_0103100_C;Г/к прокат углеродистой стали;26-апр.-2020;AD290264CBD5E34A11ABACF91674B351;G_OTGRG
1543;40364414/1;44;37,4;48,4;ИСТИНА;ЛОЖЬ;4;13;ПХО;ЛСТ;ImgPlannedStatus3;40184372|1|02|001T;Отгрузка ЦХПП;QHF_0104131_C;Х/к оцинкованный прокат углеродистой стали;26-апр.-2020;EE3821B58CC647D76AFCC582074D4093;G_OTGRH
1544;40373918/1;60;54;60,06;ИСТИНА;ЛОЖЬ;4;11;ПХА;РЛН;ImgPlannedStatusUpstreamNotPlanned;40346921|1|01|001T;Отгрузка ЦТС;QHF_0104210_YP;Прокат холод. анизотропный упаковка;26-апр.-2020;D585F1B72A69F2B14B5291AD04770981;G_OTGRT
1545;40368159/6;34;28,9;37,4;ИСТИНА;ЛОЖЬ;4;12;ПГ;ЛСТ;ImgPlannedStatus2;40184367|1|01|003T;Отгрузка ЦГП;QHF_0103100_C;Г/к прокат углеродистой стали;26-апр.-2020;9CFEC688951470CDA095165F7FD80676;G_OTGRG
1546;40367296/1;6,7;0,32;13,12;ИСТИНА;ЛОЖЬ;2;13;ПХО;РЛН;ImgPlannedStatus3;40184372|1|02|001T;Отгрузка ЦХПП;QHF_0104131_C;Х/к оцинкованный прокат углеродистой стали;26-апр.-2020;ECC493EB0A1A3EDF83E4DB0CB067AC50;G_OTGRH
1547;40360087/3;4,2;0;10,58;ИСТИНА;ЛОЖЬ;16;15;ПХО;РЛН;ImgPlannedStatusUpstreamNotPlanned;40184372|1|02|001T;Отгрузка ЦХПП;QHF_0104131_C;Х/к оцинкованный прокат углеродистой стали;26-апр.-2020;174CB1838E5EAA1AA60D723CBFDD968B;G_OTGRH
1548;40367015/2;22;17,6;26,4;ИСТИНА;ЛОЖЬ;4;13;ПХТД;РЛН;ImgPlannedStatus3;40184259|1|01|059T;Отгрузка ЦХПП;QHF_0104120_C;Х/к термообработанный прокат углеродистой стали;26-апр.-2020;47CCD1FAF889178E5113CF1B9B18D215;G_OTGRH
1549;40365340/1;20;16;24;ИСТИНА;ЛОЖЬ;4;13;ПХОПП;РЛН;ImgPlannedStatus2;40258662|2|01|006T;Отгрузка ЦДС;QHF_0104133_C;Х/к оцинкованный прокат с полимерным покрытием;26-апр.-2020;47CD1383F2FCD6A0B2A984F2B52EA406;G_OTGRD
1550;40368591/14;22;17,6;26,4;ИСТИНА;ЛОЖЬ;2;13;ПХТД;РЛН;ImgPlannedStatus2;40184259|1|01|059T;Отгрузка ЦХПП;QHF_0104120_C;Х/к термообработанный прокат углеродистой стали;26-апр.-2020;38BD91C9E7F5417E9197CAC77BB6235D;G_OTGRH
1551;40372240/2;44;37,4;48,4;ИСТИНА;ЛОЖЬ;48;13;ПХТД;ЛСТ;ImgPlannedStatus2;40184259|1|01|059T;Отгрузка ЦХПП;QHF_0104120_C;Х/к термообработанный прокат углеродистой стали;26-апр.-2020;94604D86569DE8A2276DB285C87E6041;G_OTGRH
1552;40368419/6;126,9;107,72;136,52;ИСТИНА;ЛОЖЬ;2;13;ПХТД;РЛН;ImgPlannedStatus3;40184259|1|01|059T;Отгрузка ЦХПП;QHF_0104120_C;Х/к термообработанный прокат углеродистой стали;26-апр.-2020;B69AC0A5863F59A81297E088D9959C65;G_OTGRH
1553;40373675/3;34;28,9;37,4;ИСТИНА;ЛОЖЬ;4;12;ПГ;ЛСТ;ImgPlannedStatus2;40184367|1|01|003T;Отгрузка ЦГП;QHF_0103100_C;Г/к прокат углеродистой стали;26-апр.-2020;2702E4BB0C8D6443951B37C7E0EC2714;G_OTGRG
1554;40372374/3;88;79,2;96,8;ИСТИНА;ЛОЖЬ;2;13;ПГО;РЛН;ImgPlannedStatus2;40184372|3|02|001T;Отгрузка ЦХПП;QHF_0103400_C;Г/к оцинкованный прокат углеродистой стали;26-апр.-2020;6D8981F679B37043406C1D5D3DE6C11F;G_OTGRH
1555;40373680/1;88;79,2;96,8;ИСТИНА;ЛОЖЬ;4;13;ПХТД;РЛН;ImgPlannedStatus3;40184259|1|01|059T;Отгрузка ЦХПП;QHF_0104120_C;Х/к термообработанный прокат углеродистой стали;26-апр.-2020;0A0744C629E1E74E7D853EBCDB8E399C;G_OTGRH
1556;40373974/6;640;608;672;ИСТИНА;ЛОЖЬ;8;12;ПГ;РЛН;ImgPlannedStatus3;40184367|1|01|003T;Отгрузка ЦГП;QHF_0103100_C;Г/к прокат углеродистой стали;26-апр.-2020;48674DF28D77FED94336D8E9F82E2679;G_OTGRG
1557;40374368/4;34;28,9;37,4;ИСТИНА;ЛОЖЬ;8;12;ПГ;ЛСТ;ImgPlannedStatus3;40184367|1|01|003T;Отгрузка ЦГП;QHF_0103100_C;Г/к прокат углеродистой стали;26-апр.-2020;87C7AC8C2ED96230E851C8A44201252B;G_OTGRG
1558;40374888/5;68;61,2;74,8;ИСТИНА;ЛОЖЬ;16;12;ПГ;ЛСТ;ImgPlannedStatus3;40184367|1|01|003T;Отгрузка ЦГП;QHF_0103100_C;Г/к прокат углеродистой стали;26-апр.-2020;C8C4AF3C421235CE3BC770ED1F9EBCD4;G_OTGRG
1559;40184259/2;44;37,4;48,4;ИСТИНА;ЛОЖЬ;32;13;ПХТД;ЛСТ;ImgPlannedStatus2;40184259|1|01|059T;Отгрузка ЦХПП;QHF_0104120_C;Х/к термообработанный прокат углеродистой стали;26-апр.-2020;48E9596FBF845095F503D73BC2CF0CD2;G_OTGRH
1560;40373461/4;34;28,9;37,4;ИСТИНА;ЛОЖЬ;16;12;ПГ;ЛСТ;ImgPlannedStatus2;40184367|1|01|003T;Отгрузка ЦГП;QHF_0103100_C;Г/к прокат углеродистой стали;26-апр.-2020;0A7B8D195320A04A701FBBA0FB678AD6;G_OTGRG
1561;40367695/5;40;34;44;ИСТИНА;ЛОЖЬ;2;13;ПГО;РЛН;ImgPlannedStatus2;40184372|3|02|001T;Отгрузка ЦХПП;QHF_0103400_C;Г/к оцинкованный прокат углеродистой стали;26-апр.-2020;352E7E9E892A0037BCE230C4C2286F4C;G_OTGRH
1562;40367995/1;50;45;55;ИСТИНА;ЛОЖЬ;4;11;ПХА;РЛН;ImgPlannedStatus2;40346921|1|01|001T;Отгрузка ЦТС;QHF_0104210_YP;Прокат холод. анизотропный упаковка;26-апр.-2020;B2EDBB157ED63D73E07026D2BF82D28D;G_OTGRT
1563;40371580/2;44;37,4;48,4;ИСТИНА;ЛОЖЬ;2;13;ПГТД;ЛСТ;ImgPlannedStatus3;40355763|1|02|001T;Отгрузка ЦХПП;QHF_0103300_C;Г/к травленый дрессированный прокат углеродистой стали;26-апр.-2020;A3FA95031DEBBEE6AD02AEDF248D7DE2;G_OTGRH, G_VSL1
1564;40360844/2;6,3;0;12,72;ИСТИНА;ЛОЖЬ;36;15;ПХО;РЛН;ImgPlannedStatusUpstreamNotPlanned;40184372|1|02|001T;Отгрузка ЦХПП;QHF_0104131_C;Х/к оцинкованный прокат углеродистой стали;26-апр.-2020;213E710F28283B5065CA21178AD22156;G_OTGRH
1565;40374431/9;68;61,2;74,8;ИСТИНА;ЛОЖЬ;4;12;ПГ;ЛСТ;ImgPlannedStatus3;40184367|1|01|003T;Отгрузка ЦГП;QHF_0103100_C;Г/к прокат углеродистой стали;26-апр.-2020;FF667C078DB8FD7E69FA2AB64D1C2664;G_OTGRG
1566;40371431/2;40;34;44;ИСТИНА;ЛОЖЬ;4;13;ПХОПП;РЛН;ImgPlannedStatus3;40258662|2|01|006T;Отгрузка ЦДС;QHF_0104133_C;Х/к оцинкованный прокат с полимерным покрытием;26-апр.-2020;6BB61905B697D7DF99CDD5DD5A6A8C79;G_OTGRD
1567;40368364/2;34;28,9;37,4;ИСТИНА;ЛОЖЬ;8;12;ПГ;ЛСТ;ImgPlannedStatus3;40184367|1|01|003T;Отгрузка ЦГП;QHF_0103100_C;Г/к прокат углеродистой стали;26-апр.-2020;3C3A57270713BAAF3CF79D74CDC83736;G_OTGRG
1568;40375665/2;136;122,4;142,8;ИСТИНА;ЛОЖЬ;4;12;ПГ;ЛСТ;ImgPlannedStatus3;40184367|1|01|003T;Отгрузка ЦГП;QHF_0103100_C;Г/к прокат углеродистой стали;26-апр.-2020;E438BD3D9D888B7C7D9B83C85A45E60B;G_OTGRG
1569;40372605/7;80;72;88;ИСТИНА;ЛОЖЬ;90;15;ПХО;РЛН;ImgPlannedStatus2;40184372|1|02|001T;Отгрузка ЦХПП;QHF_0104131_C;Х/к оцинкованный прокат углеродистой стали;26-апр.-2020;0E965BD26BDC24CB369333D56C77CD0E;G_OTGRH
1570;40373339/1;30;28,5;31,5;ИСТИНА;ИСТИНА;1;15;ПХИ;ЛНТ;ImgPlannedStatusUpstreamNotPlanned;40351434|1|01|001T;Отгрузка ЦДС;QHF_0104120_X;Х/к термообработанный прокат динамной стали;26-апр.-2020;14FCE153CD1FB27315BB5CAFC8405F7A;G_OTGRD, G_VSL1
1571;40374431/8;136;122,4;142,8;ИСТИНА;ЛОЖЬ;4;12;ПГ;ЛСТ;ImgPlannedStatus3;40184367|1|01|003T;Отгрузка ЦГП;QHF_0103100_C;Г/к прокат углеродистой стали;26-апр.-2020;1C150FCDD76C0143856F8FBA8D41F000;G_OTGRG
1572;40366946/25;60;51;85,2;ИСТИНА;ЛОЖЬ;2;13;ПХН;РЛН;ImgPlannedStatus2;40364000|3|02|001T;Отгрузка ЦХПП;QHF_0104110_C;Х/к нагартованный прокат углеродистой стали;26-апр.-2020;45D465D249321C8AE04F18F8030B6DE6;G_OTGRH, G_VSL1
1573;40368240/1;120;108;132;ИСТИНА;ИСТИНА;1;15;ПХИ;ЛНТ;ImgPlannedStatusUpstreamNotPlanned;40351434|1|01|001T;Отгрузка ЦДС;QHF_0104120_X;Х/к термообработанный прокат динамной стали;26-апр.-2020;B3DD63ACDB7F77E17446D1DB29E9609D;G_OTGRD, G_VSL1
1574;40368238/1;240;216;264;ИСТИНА;ЛОЖЬ;8;15;ПХИ;РЛН;ImgPlannedStatus2;40351434|1|01|001T;Отгрузка ЦДС;QHF_0104120_X;Х/к термообработанный прокат динамной стали;26-апр.-2020;1DBF3B0BE56FCA88E1A8E937A0A1E289;G_OTGRD, G_VSL1
1575;40371597/6;44;37,4;48,4;ИСТИНА;ЛОЖЬ;2;13;ПГО;ЛСТ;ImgPlannedStatus2;40184372|3|02|001T;Отгрузка ЦХПП;QHF_0103400_C;Г/к оцинкованный прокат углеродистой стали;26-апр.-2020;895B5348C2E5E56D62E0FE90036C2DA6;G_OTGRH
1576;40374911/8;130,1;110,62;139,87;ИСТИНА;ЛОЖЬ;16;15;ПХОПП;РЛН;ImgPlannedStatus3;40258662|2|01|006T;Отгрузка ЦДС;QHF_0104133_C;Х/к оцинкованный прокат с полимерным покрытием;26-апр.-2020;4B148EC5F1615A00A54CA2EE7680BBC0;G_OTGRD
1577;40368150/2;34;28,9;37,4;ИСТИНА;ЛОЖЬ;2;12;ПГ;ЛСТ;ImgPlannedStatus2;40184367|1|01|003T;Отгрузка ЦГП;QHF_0103100_C;Г/к прокат углеродистой стали;26-апр.-2020;953227337AADEC3CAEA02EC0AD3FAECB;G_OTGRG
1578;40367451/47;18;14,4;21,6;ИСТИНА;ЛОЖЬ;8;13;ПХТД;РЛН;ImgPlannedStatus2;40184259|1|01|059T;Отгрузка ЦХПП;QHF_0104120_C;Х/к термообработанный прокат углеродистой стали;26-апр.-2020;85ACF8857ADBA23E0C310EF25B91BAE1;G_OTGRH
1579;40372458/1;40;34;44;ИСТИНА;ЛОЖЬ;4;13;ПХО;ЛСТ;ImgPlannedStatus3;40184372|1|02|001T;Отгрузка ЦХПП;QHF_0104131_C;Х/к оцинкованный прокат углеродистой стали;26-апр.-2020;C56A5989A523C57309A947204CC96112;G_OTGRH
1580;40372606/3;20;16;24;ИСТИНА;ЛОЖЬ;4;13;ПХОПП;РЛН;ImgPlannedStatus3;40258662|2|01|006T;Отгрузка ЦДС;QHF_0104133_C;Х/к оцинкованный прокат с полимерным покрытием;26-апр.-2020;5DA094F2ACE8DA992F4538CE2E2F0C46;G_OTGRD
